,Rank
gray_low_pass_circum0_std,1
rb_high_freq_energy,2
gray_low_pass_circum0_entropy,3
high_pass_circum0_entropy,4
gray_low_pass_circum0_skewness,5
sun_circularity_ratio,6
equation_of_time,7
gray_circum0_mean,8
gray_low_pass_concentric0_std,9
gray_circum0_entropy,10
high_pass_concentric1_entropy,11
gray_low_pass_concentric1_std,12
gray_concentric0_entropy,13
gray_circum0_smoothness,14
high_pass_concentric0_entropy,15
rb_low_freq_energy,16
gray_concentric2_mean,17
high_pass_concentric1_std,18
high_pass_circum0_std,19
gray_circum1_entropy,20
gray_low_pass_circum0_smoothness,21
cloud_ratio,22
gray_low_pass_circum0_mean,23
azimuth,24
high_pass_circum0_smoothness,25
gray_concentric0_std,26
cloud_disparity,27
gray_concentric1_entropy,28
gray_low_pass_concentric1_entropy,29
cloud_brightness,30
gray_concentric1_skewness,31
gray_low_pass_circum2_mean,32
high_pass_circum2_mean,33
gray_concentric1_smoothness,34
gray_low_pass_concentric1_skewness,35
gray_low_pass_concentric2_mean,36
gray_low_pass_concentric0_smoothness,37
gray_circum0_skewness,38
gray_low_pass_concentric1_smoothness,39
gray_low_pass_concentric0_skewness,40
gray_low_pass_circum1_skewness,41
high_pass_circum1_std,42
gray_low_pass_circum1_mean,43
gray_circum2_mean,44
gray_concentric0_mean,45
gray_concentric2_entropy,46
gray_circum0_std,47
apparent_zenith,48
high_pass_concentric1_skewness,49
high_pass_concentric2_std,50
high_pass_circum0_skewness,51
rb_mid_freq_energy,52
gray_low_pass_concentric2_skewness,53
high_pass_concentric0_std,54
cloud_isoperimetric_ratio,55
gray_concentric0_skewness,56
gray_concentric1_mean,57
gray_low_pass_concentric2_std,58
gray_low_pass_circum1_std,59
high_pass_concentric2_mean,60
high_pass_circum2_skewness,61
gray_low_pass_concentric1_mean,62
gray_low_pass_circum1_entropy,63
high_pass_concentric2_skewness,64
high_pass_circum0_mean,65
high_pass_circum1_entropy,66
gray_low_pass_concentric0_mean,67
zenith,68
high_pass_concentric2_entropy,69
gray_circum1_std,70
high_pass_concentric0_mean,71
gray_high_freq_energy,72
gray_concentric1_std,73
gray_low_pass_circum2_entropy,74
gray_concentric2_std,75
gray_circum1_skewness,76
gray_mid_freq_energy,77
gray_circum1_mean,78
gray_low_pass_concentric2_entropy,79
high_pass_concentric0_skewness,80
high_pass_circum2_entropy,81
gray_low_pass_concentric0_entropy,82
gray_circum2_skewness,83
high_pass_circum1_skewness,84
high_pass_circum1_mean,85
gray_concentric0_smoothness,86
high_pass_concentric1_smoothness,87
high_pass_concentric0_smoothness,88
high_pass_concentric1_mean,89
gray_circum2_entropy,90
gray_circum1_smoothness,91
gray_circum2_std,92
gray_concentric2_skewness,93
gray_low_pass_circum2_skewness,94
gray_low_pass_concentric2_smoothness,95
high_pass_concentric2_smoothness,96
gray_low_pass_circum1_smoothness,97
gray_low_pass_circum2_std,98
gray_low_freq_energy,99
high_pass_circum2_std,100
elevation,101
gray_concentric2_smoothness,102
gray_circum2_smoothness,103
apparent_elevation,104
high_pass_circum1_smoothness,105
gray_low_pass_circum2_smoothness,106
high_pass_circum2_smoothness,107
